Општина,Населено место,Градба/место
Маврово,Галичник,Куќа – сопственици Митре Ѓозински и Велимир Чанговски
Маврово,Галичник,Куќа – сопственик Иљо Ванковски
Маврово,Галичник,Куќа – сопственик Пејчин Томовски
Маврово,Галичник,Куќа – сопственици Иљо и Стрезо Цубалевски
Маврово,Галичник,Куќа – сопственик Велимир Ѓиновски
Маврово,Галичник,Куќа – сопственик Глигор Тулевски
Маврово,Галичник,Куќа – сопственици Милош и Динго Меловски
Маврово,Галичник,Куќа – сопственици Нико и Славко Филиповски
Маврово,Галичник,Куќа – сопственик Алекса Муратовски
Маврово,Галичник,Куќа – сопственик Трајче Чапаровски
Маврово,Галичник,Куќа – сопственик Митре Тортевски
Маврово,Галичник,Куќа – сопственик Мане Шулевски
Маврово,Галичник,Куќа – сопственик Косто Шаклевски
Маврово,Галичник,Куќа – сопственици Ристе и Блаже Меловски
Маврово,Галичник,Куќа – сопственик Симон Поповски
Маврово,Галичник,Куќа – сопственик Петре Лукановски
Маврово,Галичник,Куќа – сопственик Методија Секуловски
Маврово,Галичник,Куќа – сопственик Кузе Фрчковски
Маврово,Галичник,Куќа – сопственик Јаков Денковски
Маврово,Галичник,Куќа – сопственик Дамјан Голчевски
Маврово,Галичник,Куќа – сопственик Јаков Тримчески
Маврово,Галичник,Куќа – сопственик Ѓорѓи Чалчевски
Маврово,Галичник,Куќа – сопственици Василко и Трајан Крцковски
Маврово,Галичник,Куќа – сопственици Петре и Миле Желчевски
Маврово,Галичник,Куќа – сопственик Јосе Пљачковски
Маврово,Галичник,Куќа – сопственик Ристе Чоланчески
Маврово,Галичник,Куќа – сопственици Доксим и Ефто Чадловски
Маврово,Галичник,Куќа – сопственик Ѓорѓе Карановски
Маврово,Галичник,Куќа – сопственици Борис и Томо Бундалевски
Маврово,Галичник,Куќа – сопственик Иљо Филиповски
Маврово,Галичник,Куќа – сопственик Меле Граорковски
Маврово,Галичник,Куќа – сопственик Ристе Бужаровски
Маврово,Галичник,Куќа – сопственици Ристе и Никола Ванковски
Маврово,Галичник,Куќа – сопственик Кире Томовски
Маврово,Галичник,Куќа – сопственик Веле Ванковски
Маврово,Галичник,Куќа – сопственик Никола Николовски
Маврово,Галичник,Куќа – сопственици Ѓорѓи и Деспот Филиповски
Маврово,Галичник,Куќа – сопственици Ладе и Веле Лакински
Маврово,Галичник,Куќа – сопственици Јаков и Васе Бундовски
Маврово,Галичник,Куќа – сопственик Кире Крцковски
Маврово,Галичник,Куќа – сопственик Никола Куковски
Маврово,Галичник,Куќа – сопственик Доксе Лоновски
Маврово,Галичник,Куќа – сопственик Јован Муратовски
Маврово,Галичник,Куќа – сопственик Славко Брезовски
Маврово,Галичник,Куќа – сопственици Тодор и Русе Мицовски
Маврово,Галичник,Куќа – сопственици Меле и Ристе Куцуловски
