Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
504,Маврово и Ростуше (78),Галичник,Куќа – сопственици Ладе и Веле Лакински,,
505,Маврово и Ростуше (78),Галичник,Куќа – сопственици Јаков и Васе Бундовски,,
506,Маврово и Ростуше (78),Галичник,Куќа – сопственик Кире Крцковски,,
507,Маврово и Ростуше (78),Галичник,Куќа – сопственик Никола Куковски,,
508,Маврово и Ростуше (78),Галичник,Куќа – сопственик Доксе Лоновски,,
509,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јован Муратовски,,
510,Маврово и Ростуше (78),Галичник,Куќа – сопственик Славко Брезовски,,
511,Маврово и Ростуше (78),Галичник,Куќа – сопственици Тодор и Русе Мицовски,,
512,Маврово и Ростуше (78),Галичник,Куќа – сопственици Меле и Ристе Куцуловски,,
513,Маврово и Ростуше (78),Галичник,Куќа – сопственик Павле Цинцаровски,,
514,Маврово и Ростуше (78),Галичник,Куќа – сопственик Динго Чаловски,,
515,Маврово и Ростуше (78),Галичник,Куќа – сопственици Борис и Трајче Филиповски,,
516,Маврово и Ростуше (78),Галичник,Куќа – сопственик Русе Геговски,,
517,Маврово и Ростуше (78),Галичник,Куќа – сопственик Тофе Кецкаровски,,
518,Маврово и Ростуше (78),Галичник,Куќа – сопственик Блаже Шотаровски,,
519,Маврово и Ростуше (78),Галичник,Куќа – сопственици Деспот и Мето Чаловски,,
520,Маврово и Ростуше (78),Галичник,Куќа – сопственици Кузе и Вељо Чаловски,,
521,Маврово и Ростуше (78),Галичник,Куќа – сопственик Стрезо Бундовски,,
522,Маврово и Ростуше (78),Галичник,Куќа – сопственик Јован Синокаповски,,
523,Маврово и Ростуше (78),Галичник,Галичник,,
524,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Јован Негриовски,,
525,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Илија Тортевски,,
526,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Биљали Амдија,,
527,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Осман Имери (Бојаџи),,
528,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Петко Деспотовски,,
529,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Лиман Суљоски,,
530,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Усни Амзовски и Шефкија Суљовски,,
531,Маврово и Ростуше (78),Јанче,Куќа – сопственик и корисник Лидија Лиман,,
532,Маврово и Ростуше (78),Кичиница,Кичиница,,
533,Маврово и Ростуше (78),Лазарополе,Црква „Св. Ѓорѓи“,,
534,Маврово и Ростуше (78),Никифорово,Археолошко наоѓалиште „Борче/Свети Пантелејмон“,,
535,Маврово и Ростуше (78),Ростуше,Бигорски манастир,,
536,Маврово и Ростуше (78),Ростуше,Куќа – сопственици Василко и Трајан Круковски,,
537,Маврово и Ростуше (78),Ростуше,Стара болница,,
538,Маврово и Ростуше (78),Селце,Црква „Св. Илија“,,
539,Маврово и Ростуше (78),Тресонче,Црква „Св. Петар и Павле“,,
540,Маврово и Ростуше (78),Тресонче,Црква „Св. Никола“,,
541,Македонски Брод (14),Белица,Црква „Св. Никола“,,
542,Македонски Брод (14),Бенче,Црква „Св. Архангел Михаил“,,
543,Македонски Брод (14),Брезница,Црква „Успение на Пресвета Богородица“,,
544,Македонски Брод (14),Здуње,Црква „Воведение на Пресвета Богородица“,,
545,Македонски Брод (14),Здуње,Црква „Св. Петар и Павле“,,
546,Македонски Брод (14),Ижиште,Црква „Св. Никола“,,
547,Македонски Брод (14),Ковач,Црква „Св. Атанасиј“,,
548,Македонски Брод (14),Македонски Брод,Црква „Света Богородица“,,
549,Македонски Брод (14),Модриште,Црква „Св. Атанасиј Велики“,,
550,Македонски Брод (14),Ореовец,Црква „Св. Архангел Гаврил“,,
551,Македонски Брод (14),Ореовец,Црква „Св. Никола“,,
550,Македонски Брод (14),Самоков,Црква „Св. Атанасиј“,,
550,Македонски Брод (14),Требино,Црква „Пресвета Богородица“,,
550,Македонски Брод (14),Требино,Црква „Св. Димитриј“,,
551,Могила (3),Беранци,Црквиште,,
552,Могила (3),Ивањевци,Археолошко наоѓалиште „Штала - Врбак“,,
552,Могила (3),Могила,Рековчанска Тумба,,
553,Неготино (3),Долни Дисан,Археолошко наоѓалиште „Два Гроба“,,
554,Неготино (3),Неготино,Саат-кула,,
555,Неготино (3),Неготино,Саат-кула,,
556,Новаци (4),Градешница,Црква „Св. Димитриј“,,
557,Новаци (4),Зовиќ,Археолошко наоѓалиште „Тумба Чебрен“,,
558,Новаци (4),Кајмакчалан,Црква „Св. Петар“,,
559,Новаци (4),Мегленци,Археолошко наоѓалиште „Мегленски Крст“,,
560,Ново Село (3),Барбарево,Археолошко наоѓалиште „Црвено Поле“,,
561,Ново Село (3),Борисово,Воденица за обработка на ориз,,
561,Ново Село (3),Ново Село,Воденица за обработка на ориз,,
562,Охрид (116),Велестово,Црква „Успение на Пресвета Богородица“,,
563,Охрид (116),Долно Лакочереј,Црква „Св. Еразмо“,,
564,Охрид (116),Долно Лакочереј,Археолошко наоѓалиште „Градиште“,,
565,Охрид (116),Коњско (Охридско),Црква „Св. Стефан Панцир“,,
565,Охрид (116),Косел,Споменик „Рашанец“,,
566,Охрид (116),Косел,Црква „Св. Никола“,,
567,Охрид (116),Косел,Археолошко наоѓалиште „Градиште“,,
568,Охрид (116),Куратица,Гробница на паднатите борци во НОБ,,
569,Охрид (116),Лескоец,Црква „Вознесение Христово“,,
570,Охрид (116),Љубаништа,Манастир „Св. Наум“,,
571,Охрид (116),Охрид,Воска амам,,
572,Охрид (116),Охрид,Ески амам,,
573,Охрид (116),Охрид,Антички театар,,
574,Охрид (116),Охрид,Археолошко наоѓалиште „Гробница-Видобишта“,,
575,Охрид (116),Охрид,Археолошко наоѓалиште „Козлук“,,
575,Охрид (116),Охрид,Археолошко наоѓалиште на ул. „Илинденска“ б.б.,,
577,Охрид (116),Охрид,"Хермелија („Габавци“, „Патерица“, „Амбарџица“)",,
578,Охрид (116),Охрид,Археолошко наоѓалиште „Свети Еразмо“,,
579,Охрид (116),Охрид,Археолошко наоѓалиште „Караѓулевци“,,
580,Охрид (116),Охрид,Галерија на икони,,
581,Охрид (116),Охрид,Гроб на Григор Прличев,,
582,Охрид (116),Охрид,Куќа на Христо Узунов,,
